DateKey,OrderYear,OrderMonth,OrderMonthName,OrderDay,Season,OrderQuarter
1/1/2016,2016,1,January,Friday,Winter,Q1
1/2/2016,2016,1,January,Saturday,Winter,Q1
1/3/2016,2016,1,January,Sunday,Winter,Q1
1/4/2016,2016,1,January,Monday,Winter,Q1
1/4/2016,2016,1,January,Monday,Winter,Q1
1/5/2016,2016,1,January,Tuesday,Winter,Q1
1/6/2016,2016,1,January,Wednesday,Winter,Q1
1/7/2016,2016,1,January,Thursday,Winter,Q1
1/8/2016,2016,1,January,Friday,Winter,Q1
1/9/2016,2016,1,January,Saturday,Winter,Q1
1/10/2016,2016,1,January,Sunday,Winter,Q1
1/11/2016,2016,1,January,Monday,Winter,Q1
1/12/2016,2016,1,January,Tuesday,Winter,Q1
1/13/2016,2016,1,January,Wednesday,Winter,Q1
1/14/2016,2016,1,January,Thursday,Winter,Q1
1/15/2016,2016,1,January,Friday,Winter,Q1
1/16/2016,2016,1,January,Saturday,Winter,Q1
1/17/2016,2016,1,January,Sunday,Winter,Q1
1/18/2016,2016,1,January,Monday,Winter,Q1
1/19/2016,2016,1,January,Tuesday,Winter,Q1
1/20/2016,2016,1,January,Wednesday,Winter,Q1
1/21/2016,2016,1,January,Thursday,Winter,Q1
1/22/2016,2016,1,January,Friday,Winter,Q1
1/23/2016,2016,1,January,Saturday,Winter,Q1
1/24/2016,2016,1,January,Sunday,Winter,Q1
1/25/2016,2016,1,January,Monday,Winter,Q1
1/26/2016,2016,1,January,Tuesday,Winter,Q1
1/27/2016,2016,1,January,Wednesday,Winter,Q1
1/28/2016,2016,1,January,Thursday,Winter,Q1
1/29/2016,2016,1,January,Friday,Winter,Q1
1/30/2016,2016,1,January,Saturday,Winter,Q1
1/31/2016,2016,1,January,Sunday,Winter,Q1
2/1/2016,2016,2,February,Monday,Winter,Q1
2/2/2016,2016,2,February,Tuesday,Winter,Q1
2/3/2016,2016,2,February,Wednesday,Winter,Q1
2/4/2016,2016,2,February,Thursday,Winter,Q1
2/5/2016,2016,2,February,Friday,Winter,Q1
2/6/2016,2016,2,February,Saturday,Winter,Q1
2/7/2016,2016,2,February,Sunday,Winter,Q1
2/8/2016,2016,2,February,Monday,Winter,Q1
2/9/2016,2016,2,February,Tuesday,Winter,Q1
2/10/2016,2016,2,February,Wednesday,Winter,Q1
2/11/2016,2016,2,February,Thursday,Winter,Q1
2/12/2016,2016,2,February,Friday,Winter,Q1
2/13/2016,2016,2,February,Saturday,Winter,Q1
2/14/2016,2016,2,February,Sunday,Winter,Q1
2/15/2016,2016,2,February,Monday,Winter,Q1
2/16/2016,2016,2,February,Tuesday,Winter,Q1
2/17/2016,2016,2,February,Wednesday,Winter,Q1
2/18/2016,2016,2,February,Thursday,Winter,Q1
2/19/2016,2016,2,February,Friday,Winter,Q1
2/20/2016,2016,2,February,Saturday,Winter,Q1
2/21/2016,2016,2,February,Sunday,Winter,Q1
2/22/2016,2016,2,February,Monday,Winter,Q1
2/23/2016,2016,2,February,Tuesday,Winter,Q1
2/24/2016,2016,2,February,Wednesday,Winter,Q1
2/25/2016,2016,2,February,Thursday,Winter,Q1
2/26/2016,2016,2,February,Friday,Winter,Q1
2/27/2016,2016,2,February,Saturday,Winter,Q1
2/28/2016,2016,2,February,Sunday,Winter,Q1
2/29/2016,2016,2,February,Monday,Winter,Q1
3/1/2016,2016,3,March,Tuesday,Spring,Q1
3/2/2016,2016,3,March,Wednesday,Spring,Q1
3/3/2016,2016,3,March,Thursday,Spring,Q1
3/4/2016,2016,3,March,Friday,Spring,Q1
3/5/2016,2016,3,March,Saturday,Spring,Q1
3/6/2016,2016,3,March,Sunday,Spring,Q1
3/7/2016,2016,3,March,Monday,Spring,Q1
3/8/2016,2016,3,March,Tuesday,Spring,Q1
3/9/2016,2016,3,March,Wednesday,Spring,Q1
3/10/2016,2016,3,March,Thursday,Spring,Q1
3/11/2016,2016,3,March,Friday,Spring,Q1
3/12/2016,2016,3,March,Saturday,Spring,Q1
3/13/2016,2016,3,March,Sunday,Spring,Q1
3/14/2016,2016,3,March,Monday,Spring,Q1
3/15/2016,2016,3,March,Tuesday,Spring,Q1
3/16/2016,2016,3,March,Wednesday,Spring,Q1
3/17/2016,2016,3,March,Thursday,Spring,Q1
3/18/2016,2016,3,March,Friday,Spring,Q1
3/19/2016,2016,3,March,Saturday,Spring,Q1
3/20/2016,2016,3,March,Sunday,Spring,Q1
3/21/2016,2016,3,March,Monday,Spring,Q1
3/22/2016,2016,3,March,Tuesday,Spring,Q1
3/23/2016,2016,3,March,Wednesday,Spring,Q1
3/24/2016,2016,3,March,Thursday,Spring,Q1
3/25/2016,2016,3,March,Friday,Spring,Q1
3/26/2016,2016,3,March,Saturday,Spring,Q1
3/27/2016,2016,3,March,Sunday,Spring,Q1
3/28/2016,2016,3,March,Monday,Spring,Q1
